Location,J,I,Ld,Lv,Wa,Wp,Dd,Dv,In,Delta
Taseko BC,11.3447,-6.04754,2.47822,2.4352,1.84253,0.765576,1.26161,4.10638,1.26708,0.202145
Taseko BC,-1.07064,-0.341104,1.36054,1.07035,1.07338,1.09616,1.13073,1.59981,0.815406,0.162609
Taseko BC,-3.1315,0.732279,1.18302,0.844378,0.674395,0.587775,0.725111,1.15643,0.551741,0.130662
Taseko BC,0.704141,0.893208,1.79872,1.6804,1.46058,1.32904,1.49937,1.93322,1.42909,0.180314
Taseko BC,-1.44599,1.28379,2.69227,2.07132,2.07819,1.76235,1.78287,3.2254,1.39613,0.378651
Taseko BC,-1.03481,-0.711712,2.68721,1.57222,1.88526,1.57639,1.80992,2.61359,1.58956,0.306833
Taseko BC,-4.79479,1.51118,2.9735,2.3044,1.8489,1.63067,1.95731,3.56932,1.99444,0.3837
Taseko BC,-1.90064,1.98218,2.17534,1.80112,1.24457,1.25337,1.4369,2.83697,1.66753,0.195224
Taseko BC,-2.19927,2.65363,2.67518,2.15633,1.48633,1.38324,1.65143,2.85324,1.85158,0.199873
Taseko BC,-1.03448,0.0760165,2.13776,1.8807,1.29997,1.24946,1.55167,2.43561,1.51731,0.199764
Taseko BC,-3.8766,1.16207,2.14082,1.53039,1.24871,1.03699,1.53817,2.11957,1.17269,0.202219
Taseko BC,1.91295,-6.75419,3.04497,2.61413,1.84206,1.20116,2.10563,3.48163,2.07314,0.230412
Taseko BC,1.1329,1.61647,1.88969,1.56431,1.18912,1.08046,1.24983,2.7873,1.35104,0.187719
Taseko BC,-0.714276,-0.199014,2.19223,1.82135,1.50988,1.43161,1.28127,2.79107,1.58007,0.113014
Taseko BC,-3.36332,1.51828,2.02848,1.64653,0.904287,0.900181,1.37178,2.40105,1.32475,0.205454
Taseko BC,-2.9232,5.77902,1.51755,1.40431,1.19447,1.41145,1.21638,1.88767,1.11435,0.151529
Taseko BC,5.55083,-4.92623,2.01422,1.24234,0.920709,0.68964,1.05194,2.20678,0.948743,0.132362
Taseko BC,1.61841,-0.679022,3.53949,3.00141,2.29448,1.92628,2.20347,3.9824,2.93986,0.325193
Taseko BC,-1.73487,3.61278,2.62099,2.49725,1.76354,1.684,1.99553,3.46109,2.3992,0.228367
Taseko BC,-2.82479,-0.628149,3.20324,2.31116,2.07902,1.83796,2.38962,3.35543,2.17365,0.538724
Taseko BC,0.505078,1.44722,2.31694,1.88222,1.31684,1.44017,1.72383,2.23979,1.44299,0.28111
Taseko BC,0.17691,-0.802409,2.5039,2.04411,1.87568,1.79296,1.66925,2.73053,1.72537,0.309531
Taseko BC,-6.1176,7.86365,2.11334,2.05781,1.39424,1.16347,1.47743,2.31458,1.70274,0.313951
Taseko BC,-3.04276,3.16501,1.90261,1.37512,0.992317,1.05554,1.21651,1.97992,1.19357,0.305982
Taseko BC,-10.6936,4.27426,3.21008,2.62371,1.89994,1.6514,2.96024,2.91359,2.28727,0.245192
Taseko BC,9.49403,-8.17454,2.85549,2.52957,2.09622,1.05571,1.77005,3.62404,2.09996,0.140922
Taseko BC,7.4155,-5.84614,3.39815,2.91719,2.38178,1.20503,1.6676,3.91024,1.81744,0.298206
Taseko BC,-4.46525,2.94407,2.18487,1.4708,0.94863,1.05798,1.47516,2.32195,1.47668,0.191397
Taseko BC,4.88659,-2.74984,2.6509,1.67068,1.7073,1.59477,1.60129,2.74107,1.82279,0.274634
Taseko BC,-1.34549,0.428705,3.21543,2.36102,1.47615,1.66963,1.20304,4.26337,2.04104,0.457759
Taseko BC,-0.208216,-1.43014,2.79395,2.18124,2.06056,1.79233,2.04524,2.53954,1.90388,0.322493
Taseko BC,1.29441,-1.0457,3.65214,2.72863,2.23208,2.13605,2.64477,3.95435,1.77163,0.343542
Taseko BC,4.17517,-0.905801,2.8499,2.16933,1.79972,1.55858,1.80175,2.99689,1.85446,0.236712
Taseko BC,4.17517,-0.905801,2.8499,2.16933,1.79972,1.55858,1.80175,2.99689,1.85446,0.236712
Taseko BC,0.199576,-0.107124,3.28441,1.92454,1.99239,1.69085,1.45766,3.62595,1.70893,0.193361
Taseko BC,-6.87392,4.1763,2.74231,2.08931,1.87278,1.44733,2.08307,2.90444,1.9018,0.24347
Taseko BC,-4.67234,2.85772,2.89936,2.19864,1.93304,1.57447,1.74022,3.20516,1.53928,0.352486
Taseko BC,-11.9102,7.08409,3.04896,2.5044,1.72596,2.07399,2.34443,3.20953,2.17843,0.307656
Taseko BC,4.68167,-3.89788,3.05332,2.54218,2.36241,1.4199,2.30082,3.25203,1.95882,0.203817
Taseko BC,-4.88059,2.3356,2.47727,1.83865,1.21799,1.36008,1.49889,2.71447,1.37136,0.250645
Taseko BC,-0.557877,1.82458,2.28232,1.92339,1.42429,1.34023,1.68405,2.43006,1.40653,0.244753
Taseko BC,0,2.2026,2.15017,1.71331,1.1484,1.36657,1.82305,2.53835,1.71566,0.21014
Taseko BC,-0.0642202,0.713389,2.45262,2.11582,1.76917,1.45875,1.75902,2.72287,1.74357,0.225016
Taseko BC,-8.2218,7.18838,2.37653,1.62367,1.25132,1.13809,1.51808,2.47993,1.34964,0.175323
Taseko BC,2.454,-0.0201122,2.28795,1.7481,1.56391,1.36638,1.4861,2.74799,1.7086,0.141239
Taseko BC,-4.47179,4.13446,2.60377,1.74892,1.38061,1.27119,1.66998,2.88768,1.30535,0.397007
Taseko BC,-10.2236,8.33776,2.89206,1.97285,1.7078,1.65522,1.89449,3.06688,1.99373,0.203124
